Price,adj_close,log_price,log_return
Ticker,SPY,,
Date,,,
1/3/18,239.4140167,5.478194341,0.006305787
1/4/18,240.4230652,5.482400143,0.004205802
1/5/18,242.025238,5.48904201,0.006641867
1/8/18,242.4678345,5.49086906,0.00182705
1/9/18,243.0166779,5.493130074,0.002261014
1/10/18,242.6448822,5.491598984,-0.00153109
1/11/18,244.4152374,5.498868572,0.007269587
1/12/18,246.0085754,5.505366395,0.006497823
1/16/18,245.1676025,5.501942069,-0.003424326
1/17/18,247.5045319,5.511428892,0.009486824
1/18/18,247.0883942,5.509746144,-0.001682749
1/19/18,248.2125702,5.514285517,0.004539373
1/22/18,250.2307587,5.522383527,0.00809801
1/23/18,250.7619476,5.524504073,0.002120546
1/24/18,250.664566,5.524115655,-0.000388418
1/25/18,250.7707367,5.524539122,0.000423467
1/26/18,253.6741638,5.536050624,0.011511502
1/29/18,251.9923859,5.529398872,-0.006651752
1/30/18,249.4076691,5.519088783,-0.010310089
1/31/18,249.5315094,5.519585197,0.000496415
2/1/18,249.2482452,5.518449369,-0.001135829
2/2/18,243.8222504,5.496439478,-0.022009891
2/5/18,233.6248932,5.453716809,-0.042722669
2/6/18,238.2278137,5.473227416,0.019510608
2/7/18,236.9355164,5.467788021,-0.005439395
2/8/18,228.0482178,5.429557088,-0.038230933
2/9/18,231.4738922,5.444467091,0.014910002
2/12/18,234.8729706,5.459044817,0.014577727
2/13/18,235.4571686,5.461529023,0.002484205
2/14/18,238.6350098,5.474935229,0.013406206
2/15/18,241.6800232,5.487614633,0.012679404
2/16/18,241.7507935,5.487907416,0.000292783
2/20/18,240.2371368,5.481626506,-0.006280911
2/21/18,239.0421448,5.476639874,-0.004986631
2/22/18,239.352005,5.477935293,0.001295418
2/23/18,243.1671143,5.49374892,0.015813627
2/26/18,245.9908295,5.505294257,0.011545337
2/27/18,242.91922,5.49272896,-0.012565297
2/28/18,240.4584198,5.482547184,-0.010181776
3/1/18,236.9620514,5.467900008,-0.014647176
3/2/18,238.1835175,5.473041458,0.005141451
3/5/18,240.9364624,5.484533257,0.011491799
3/6/18,241.5472565,5.487065133,0.002531876
3/7/18,241.4586792,5.486698358,-0.000366775
3/8/18,242.6271057,5.49152572,0.004827363
3/9/18,246.8494568,5.508778664,0.017252944
3/12/18,246.5396576,5.507522863,-0.001255801
3/13/18,244.9463196,5.501039083,-0.00648378
3/14/18,243.6893616,5.495894306,-0.005144777
3/15/18,243.4238739,5.494804261,-0.001090045
3/16/18,243.6878052,5.495887919,0.001083658
3/19/18,240.390564,5.48226495,-0.013622969
3/20/18,240.799408,5.483964255,0.001699304
3/21/18,240.3372803,5.482043271,-0.001920984
3/22/18,234.3295593,5.456728498,-0.025314774
3/23/18,229.3349304,5.435183513,-0.021544984
3/26/18,235.6092834,5.462174854,0.026991341
3/27/18,231.6011505,5.445016713,-0.017158141
3/28/18,230.9168091,5.442057512,-0.002959202
3/29/18,233.8673706,5.454754162,0.012696651
4/2/18,228.819397,5.432933033,-0.021821129
4/3/18,231.7521973,5.445668686,0.012735653
4/4/18,234.2317657,5.456311077,0.010642392
4/5/18,236.080307,5.464172031,0.007860954
4/6/18,230.8190918,5.441634251,-0.02253778
4/9/18,231.956604,5.446550302,0.004916051
4/10/18,235.6448517,5.462325806,0.015775503
4/11/18,234.4095154,5.457069652,-0.005256154
4/12/18,236.3380432,5.465263167,0.008193515
4/13/18,235.6448517,5.462325806,-0.002937361
4/16/18,237.5822144,5.470513729,0.008187923
4/17/18,240.1240234,5.481155554,0.010641825
4/18/18,240.3017426,5.481895394,0.00073984
4/19/18,238.9687042,5.476332599,-0.005562796
4/20/18,236.9423218,5.467816743,-0.008515855
4/23/18,236.9068451,5.467667005,-0.000149738
4/24/18,233.7163239,5.454108089,-0.013558916
4/25/18,234.2939301,5.456576438,0.00246835
4/26/18,236.6757202,5.466690935,0.010114497
4/27/18,236.897934,5.46762939,0.000938455
4/30/18,235.0760498,5.459909078,-0.007720312
5/1/18,235.4937439,5.461684348,0.00177527
5/2/18,233.9117889,5.454944074,-0.006740274
5/3/18,233.3963318,5.452738003,-0.002206071
5/4/18,236.417984,5.465601357,0.012863354
5/7/18,237.2178497,5.468978916,0.003377559
5/8/18,237.2178497,5.468978916,0
5/9/18,239.5108643,5.478598778,0.009619862
5/10/18,241.7503204,5.48790546,0.009306682
5/11/18,242.4879913,5.490952189,0.003046729
5/14/18,242.6035461,5.491428614,0.000476425
5/15/18,240.9326935,5.484517614,-0.006910999
5/16/18,241.9458466,5.488713927,0.004196312
5/17/18,241.7414551,5.487868788,-0.000845139
5/18/18,241.1371002,5.485365652,-0.002503135
5/21/18,242.9501648,5.492856339,0.007490687
5/22/18,242.2746582,5.490072034,-0.002784305
5/23/18,242.9411774,5.492819346,0.002747312
5/24/18,242.4435425,5.490768869,-0.002050477
5/25/18,241.86586,5.488383275,-0.002385594
5/29/18,239.0841675,5.476815655,-0.01156762
5/30/18,242.2746582,5.490072034,0.013256379
5/31/18,240.7905426,5.483927438,-0.006144596
6/1/18,243.15448,5.493696961,0.009769524
6/4/18,244.309906,5.498437526,0.004740565
6/5/18,244.4876709,5.499164882,0.000727356
6/6/18,246.5316467,5.50749037,0.008325488
6/7/18,246.5050049,5.507382297,-0.000108072
6/8/18,247.2337494,5.510334243,0.002951946
6/11/18,247.5625458,5.51166326,0.001329017
6/12/18,247.8824921,5.512954812,0.001291551
6/13/18,247.0915375,5.509758865,-0.003195947
6/14/18,247.7137756,5.512273949,0.002515084
6/15/18,247.3976593,5.510996999,-0.00127695
6/18/18,246.8887939,5.508938008,-0.00205899
6/19/18,245.9425507,5.505097975,-0.003840034
